zip_code,year,month,eto_in,precip_in
95220,2014,3,3.8,0
95220,2014,4,5.14,0
95220,2014,5,7.52,0
95220,2014,6,8.47,0
95220,2014,7,8.68,0
95220,2014,8,7.56,0
95220,2014,9,5.890000000000001,0
95220,2014,10,4.11,0
95220,2014,11,1.66,0
95220,2014,12,1.18,0
95421,2014,1,1.64,0
95421,2014,2,1.45,0
95421,2014,3,2.79,0
95421,2014,4,4.0200000000000005,0
95421,2014,5,5.49,0
95421,2014,6,6.1,0
95421,2014,7,6.28,0
95421,2014,8,5.39,0
95421,2014,9,4.18,0
95421,2014,10,3.03,0
95421,2014,11,1.47,0
95421,2014,12,0.95,0
93219,2014,1,2.04,0
93219,2014,2,2.4,0
93219,2014,3,4.36,0
93219,2014,4,5.64,0
93219,2014,5,7.86,0
93219,2014,6,8.97,0
93219,2014,7,9.45,0
93219,2014,8,8.58,0
93219,2014,9,6.43,0
93219,2014,10,4.2700000000000005,0
93219,2014,11,1.88,0
93219,2014,12,1.19,0
93420,2014,1,2.63,0
93420,2014,2,2.44,0
93420,2014,3,3.86,0
93420,2014,4,4.76,0
93420,2014,5,6.3500000000000005,0
93420,2014,6,6.21,0
93420,2014,7,6.45,0
93420,2014,8,6.11,0
93420,2014,9,4.84,0
93420,2014,10,4.09,0
93420,2014,11,2.33,0
93420,2014,12,1.58,0
93461,2014,1,2.5,0
93461,2014,2,2.51,0
93461,2014,3,4.21,0
93461,2014,4,5.37,0
93461,2014,5,7.38,0
93461,2014,6,8.01,0
93461,2014,7,8.120000000000001,0
93461,2014,8,7.65,0
93461,2014,9,5.97,0
93461,2014,10,4.61,0
93461,2014,11,2.12,0
93461,2014,12,1.36,0
95075,2014,1,1.89,0
95075,2014,2,1.94,0
95075,2014,3,3.62,0
95075,2014,4,4.82,0
95075,2014,5,6.8,0
95075,2014,6,7.23,0
95075,2014,7,7.24,0
95075,2014,8,6.54,0
95075,2014,9,5.08,0
95075,2014,10,3.88,0
95075,2014,11,1.68,0
95075,2014,12,1.11,0
95249,2014,1,1.86,0
95249,2014,2,2.0500000000000003,0
95249,2014,3,3.69,0
95249,2014,4,4.94,0
95249,2014,5,7.02,0
95249,2014,6,8.26,0
95249,2014,7,8.56,0
95249,2014,8,7.52,0
95249,2014,9,5.84,0
95249,2014,10,4.08,0
95249,2014,11,1.73,0
95249,2014,12,1.2,0
95338,2014,1,1.71,0
95338,2014,2,2.06,0
95338,2014,3,3.5500000000000003,0
95338,2014,4,4.94,0
95338,2014,5,7.03,0
95338,2014,6,8.1,0
95338,2014,7,8.15,0
95338,2014,8,7.05,0
95338,2014,9,5.5,0
95338,2014,10,3.81,0
95338,2014,11,1.62,0
95338,2014,12,1.07,0
95401,2014,1,1.64,0
95401,2014,2,1.55,0
95401,2014,3,3.08,0
95401,2014,4,4.2,0
95401,2014,5,5.84,0
95401,2014,6,6.28,0
95401,2014,7,6.38,0
95401,2014,8,5.4,0
95401,2014,9,4.28,0
95401,2014,10,3.16,0
95401,2014,11,1.47,0
95401,2014,12,1.01,0
95404,2014,1,1.67,0
95404,2014,2,1.58,0
95404,2014,3,3.15,0
95404,2014,4,4.3100000000000005,0
95404,2014,5,6.03,0
95404,2014,6,6.52,0
95404,2014,7,6.5600000000000005,0
95404,2014,8,5.59,0
95404,2014,9,4.44,0
95404,2014,10,3.21,0
95404,2014,11,1.47,0
95404,2014,12,1.01,0
95442,2014,1,1.68,0
95442,2014,2,1.62,0
