year,county,month,eto_in,precip_in
2018,Contra Costa,11,1.9240279519693286,0.0
2018,Contra Costa,12,1.299031679378214,0.0
2019,Contra Costa,1,0.45259220654221605,0.0
2019,Contra Costa,2,0.6228930941128498,0.0
2019,Contra Costa,3,1.1370509391707557,0.0
2019,Contra Costa,4,1.7132391454473854,0.0
2019,Contra Costa,5,2.0190510274789952,0.0
2019,Contra Costa,6,2.881665650297494,0.0
2019,Contra Costa,7,2.9546518268073214,0.0
2019,Contra Costa,8,2.7579085414309756,0.0
2019,Contra Costa,9,2.0479028202507816,0.0
2019,Contra Costa,10,1.5719531210812585,0.0
2019,Contra Costa,11,0.7309563495649063,0.0
2019,Contra Costa,12,0.33044098958798407,0.0
2020,Contra Costa,1,0.03124343813105345,0.0
2020,Contra Costa,2,0.07362824692936501,0.0
2020,Contra Costa,3,0.08583254374330923,0.0
2020,Contra Costa,4,0.12438208770767227,0.0
2020,Contra Costa,5,0.16319942836290782,0.0
2020,Contra Costa,6,0.19688110230015132,0.0
2020,Contra Costa,7,7.508263318916262,0.0
2020,Contra Costa,8,7.000221611431255,0.0
2020,Contra Costa,9,5.145906855508054,0.0
2020,Contra Costa,10,3.8005081714902635,0.0
2020,Contra Costa,11,1.8809385182226963,0.0
2020,Contra Costa,12,1.213228739433136,0.0
2021,Contra Costa,1,1.4550909937781158,0.0
2021,Contra Costa,2,2.360291717594018,0.0
2021,Contra Costa,3,3.7742018789611733,0.0
2021,Contra Costa,5,7.333226562408548,0.0
2021,Contra Costa,6,7.709959814857358,0.0
2021,Contra Costa,7,7.818575639636956,0.0
2021,Contra Costa,8,7.020095362171776,0.0
2021,Contra Costa,9,5.565157687368796,0.0
2021,Contra Costa,10,3.238765788585147,0.0
2021,Contra Costa,11,1.4005143949030505,0.0
2021,Contra Costa,12,0.8018602242738953,0.0
2022,Contra Costa,1,1.1799424602557194,0.0
2022,Contra Costa,2,2.346154348114372,0.0
2022,Contra Costa,3,3.7838360481108384,0.0
2022,Contra Costa,4,4.98671578604076,0.0
2022,Contra Costa,5,6.639320971128226,0.0
2022,Contra Costa,6,7.345176111935052,0.0
2022,Contra Costa,7,7.29782123932387,0.0
2022,Contra Costa,8,6.96181797728045,0.0
2022,Contra Costa,9,5.3838531097209135,0.0
2022,Contra Costa,10,3.5222754430991214,0.0
2022,Contra Costa,11,1.6462259271320152,0.0
2022,Contra Costa,12,0.6648235106034014,0.0
2023,Contra Costa,1,1.1087458034258086,0.0
2023,Contra Costa,2,1.4463470039360595,0.0
2023,Contra Costa,3,2.1547663003644293,0.0
2023,Contra Costa,4,3.8452954209390118,0.0
2023,Contra Costa,5,4.34592221730759,0.0
