year,ava_id,annual_eto_in,annual_precip_in,ava_name,water_deficit_in
2018,ballard_canyon,47.25138293533234,0.0,Ballard Canyon,47.25138293533234
2019,ballard_canyon,45.53512438125203,0.0,Ballard Canyon,45.53512438125203
2020,ballard_canyon,46.8006475155623,0.0,Ballard Canyon,46.8006475155623
2021,ballard_canyon,41.59850823401352,0.0,Ballard Canyon,41.59850823401352
2022,ballard_canyon,47.77060876046879,0.0,Ballard Canyon,47.77060876046879
2023,ballard_canyon,41.54936660550071,0.0,Ballard Canyon,41.54936660550071
2014,ben_lomond_mountain,37.14,0.0,Ben Lomond Mountain,37.14
2016,ben_lomond_mountain,35.58,0.0,Ben Lomond Mountain,35.58
2018,ben_lomond_mountain,36.22,0.0,Ben Lomond Mountain,36.22
2019,ben_lomond_mountain,34.34,0.0,Ben Lomond Mountain,34.34
2020,ben_lomond_mountain,36.1452479542454,0.0,Ben Lomond Mountain,36.1452479542454
2021,ben_lomond_mountain,31.637659451266202,0.0,Ben Lomond Mountain,31.637659451266202
2022,ben_lomond_mountain,0.7167930497242891,0.0,Ben Lomond Mountain,0.7167930497242891
2023,ben_lomond_mountain,34.24453871959392,0.0,Ben Lomond Mountain,34.24453871959392
2024,ben_lomond_mountain,34.86278540881694,0.0,Ben Lomond Mountain,34.86278540881694
2014,benmore_valley,48.0,0.0,Benmore Valley,48.0
2018,benmore_valley,44.92,0.0,Benmore Valley,44.92
2019,benmore_valley,45.699999999999996,0.0,Benmore Valley,45.699999999999996
2024,benmore_valley,46.68,0.0,Benmore Valley,46.68
2014,bennett_valley,45.54,0.0,Bennett Valley,45.54
2016,bennett_valley,42.19,0.0,Bennett Valley,42.19
2018,bennett_valley,42.93,0.0,Bennett Valley,42.93
2019,bennett_valley,43.93,0.0,Bennett Valley,43.93
2020,bennett_valley,45.94,0.0,Bennett Valley,45.94
2021,bennett_valley,40.92,0.0,Bennett Valley,40.92
2022,bennett_valley,46.5,0.0,Bennett Valley,46.5
2023,bennett_valley,41.99,0.0,Bennett Valley,41.99
2024,bennett_valley,44.92,0.0,Bennett Valley,44.92
2014,big_valley_district_lake_county,47.7825049921563,0.0,Big Valley District-Lake County,47.7825049921563
2018,big_valley_district_lake_county,44.732129104719874,0.0,Big Valley District-Lake County,44.732129104719874
2019,big_valley_district_lake_county,45.44517658858455,0.0,Big Valley District-Lake County,45.44517658858455
2020,big_valley_district_lake_county,47.44965492212939,0.0,Big Valley District-Lake County,47.44965492212939
2021,big_valley_district_lake_county,17.42684780630187,0.0,Big Valley District-Lake County,17.42684780630187
2022,big_valley_district_lake_county,48.84311806778474,0.0,Big Valley District-Lake County,48.84311806778474
2023,big_valley_district_lake_county,43.708270734743486,0.0,Big Valley District-Lake County,43.708270734743486
2024,big_valley_district_lake_county,46.50023144105484,0.0,Big Valley District-Lake County,46.50023144105484
2014,borden_ranch,56.76325334270872,0.0,Borden Ranch,56.76325334270872
2016,borden_ranch,55.11100003303907,0.0,Borden Ranch,55.11100003303907
2019,borden_ranch,21.556046111651018,0.0,Borden Ranch,21.556046111651018
2020,borden_ranch,0.7125707704400639,0.0,Borden Ranch,0.7125707704400639
2021,borden_ranch,20.995598976020993,0.0,Borden Ranch,20.995598976020993
2014,california_shenandoah_valley,51.733589458906,0.0,California Shenandoah Valley,51.733589458906
2016,california_shenandoah_valley,54.52979023807975,0.0,California Shenandoah Valley,54.52979023807975
2018,california_shenandoah_valley,50.90055818732983,0.0,California Shenandoah Valley,50.90055818732983
2019,california_shenandoah_valley,53.0447087832555,0.0,California Shenandoah Valley,53.0447087832555
2020,california_shenandoah_valley,53.46814436675009,0.0,California Shenandoah Valley,53.46814436675009
2021,california_shenandoah_valley,48.04693828352637,0.0,California Shenandoah Valley,48.04693828352637
2023,california_shenandoah_valley,3.5419503397871415,0.0,California Shenandoah Valley,3.5419503397871415
2018,calistoga,44.59,0.0,Calistoga,44.59
2019,calistoga,45.12,0.0,Calistoga,45.12
2020,calistoga,47.47,0.0,Calistoga,47.47
2021,calistoga,42.8,0.0,Calistoga,42.8
2022,calistoga,48.71,0.0,Calistoga,48.71
2023,calistoga,43.53,0.0,Calistoga,43.53
2024,calistoga,46.62,0.0,Calistoga,46.62
2014,capay_valley,47.002198878293754,0.0,Capay Valley,47.002198878293754
2016,capay_valley,19.54837424086344,0.0,Capay Valley,19.54837424086344
2018,capay_valley,49.097257335740736,0.0,Capay Valley,49.097257335740736
2019,capay_valley,6.9040715218890725,0.0,Capay Valley,6.9040715218890725
2020,capay_valley,35.21786401426847,0.0,Capay Valley,35.21786401426847
2021,capay_valley,47.40918980644585,0.0,Capay Valley,47.40918980644585
2023,capay_valley,48.31445257371228,0.0,Capay Valley,48.31445257371228
2024,capay_valley,51.42864400852485,0.0,Capay Valley,51.42864400852485
2014,carmel_valley,40.54,0.0,Carmel Valley,40.54
2018,carmel_valley,40.18,0.0,Carmel Valley,40.18
2019,carmel_valley,38.14,0.0,Carmel Valley,38.14
2020,carmel_valley,39.07,0.0,Carmel Valley,39.07
2021,carmel_valley,34.1,0.0,Carmel Valley,34.1
2022,carmel_valley,41.68,0.0,Carmel Valley,41.68
2023,carmel_valley,37.56,0.0,Carmel Valley,37.56
2014,central_coast,41.598346351115666,0.0,Central Coast,41.598346351115666
2016,central_coast,43.51628500676244,0.0,Central Coast,43.51628500676244
2018,central_coast,50.30579297959466,0.0,Central Coast,50.30579297959466
2019,central_coast,48.349012336304604,0.0,Central Coast,48.349012336304604
2020,central_coast,44.018207504701806,0.0,Central Coast,44.018207504701806
2021,central_coast,37.83992642790194,0.0,Central Coast,37.83992642790194
2022,central_coast,43.59445977556541,0.0,Central Coast,43.59445977556541
2023,central_coast,42.94241149825467,0.0,Central Coast,42.94241149825467
2024,central_coast,45.60928006263126,0.0,Central Coast,45.60928006263126
2014,chalk_hill,45.077258008420515,0.0,Chalk Hill,45.077258008420515
2016,chalk_hill,28.644682182839656,0.0,Chalk Hill,28.644682182839656
2018,chalk_hill,42.70367240374412,0.0,Chalk Hill,42.70367240374412
2019,chalk_hill,28.064736290745298,0.0,Chalk Hill,28.064736290745298
2020,chalk_hill,45.68367467184347,0.0,Chalk Hill,45.68367467184347
2021,chalk_hill,41.02785403882765,0.0,Chalk Hill,41.02785403882765
2022,chalk_hill,46.010753259934624,0.0,Chalk Hill,46.010753259934624
2023,chalk_hill,41.70970240617587,0.0,Chalk Hill,41.70970240617587
2024,chalk_hill,44.77185484446509,0.0,Chalk Hill,44.77185484446509
2014,chalone,48.019999999999996,0.0,Chalone,48.019999999999996
2016,chalone,46.0,0.0,Chalone,46.0
2018,chalone,47.56,0.0,Chalone,47.56
2019,chalone,46.85,0.0,Chalone,46.85
2020,chalone,46.96,0.0,Chalone,46.96
2021,chalone,43.49,0.0,Chalone,43.49
2023,chalone,46.04,0.0,Chalone,46.04
2024,chalone,48.63,0.0,Chalone,48.63
2016,chiles_valley,45.47,0.0,Chiles Valley,45.47
2018,chiles_valley,46.480000000000004,0.0,Chiles Valley,46.480000000000004
2019,chiles_valley,46.64,0.0,Chiles Valley,46.64
2020,chiles_valley,49.46,0.0,Chiles Valley,49.46
2021,chiles_valley,44.52,0.0,Chiles Valley,44.52
2022,chiles_valley,51.230000000000004,0.0,Chiles Valley,51.230000000000004
2023,chiles_valley,45.45,0.0,Chiles Valley,45.45
2024,chiles_valley,48.7,0.0,Chiles Valley,48.7
2014,cienega_valley,49.79,0.0,Cienega Valley,49.79
2018,cienega_valley,48.35,0.0,Cienega Valley,48.35
2019,cienega_valley,47.69,0.0,Cienega Valley,47.69
