Year,Current Item Name,Current Item Code,Legacy Item Name,Legacy Commodity Code,County,County Code,Harvested Acres,Yield,Production,Price Per Unit,Value,Unit,Row Type Id,Commodities In Group,Footnote
2021,"Alfalfa, All",,,,Alameda,1,95,,,,125000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Amador,5,855,,,,1590000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Butte,7,507,,,,536000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Colusa,11,7770,,,,11300000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Contra Costa,13,1730,,,,1549000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Fresno,19,26000,,,,56628000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Glenn,21,7750,,,,12688000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Imperial,25,151000,,,,251683000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Inyo,27,,,,,2611000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Kern,29,53900,,,,89602000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Kings,31,22400,,,,45995000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Madera,39,,,,,18666000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Merced,47,44400,,,,68462000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Modoc,49,39900,,,,57364000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Mono,51,,,,,14844000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Monterey,53,730,,,,389000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Plumas,63,5480,,,,4024000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Riverside,65,56200,,,,82800000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Sacramento,67,13200,,,,18028000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,San Bernardino,71,4210,,,,6542000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,San Joaquin,77,41100,,,,62646000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,San Luis Obispo,79,1420,,,,1872000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Shasta,89,2400,,,,3128000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Sierra,91,3220,,,,2001000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Siskiyou,93,35000,,,,45712000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Solano,95,23200,,,,28606000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Stanislaus,99,13400,,,,22353000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Sutter,101,3690,,,,5338000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Tehama,103,1250,,,,1704000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Tulare,107,34800,,,,109603000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Yolo,113,23800,,,,34336000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Yuba,115,237,,,,320000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,Sum of Others,998,7470,,,,12944000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, All",,,,State Total,999,627114,,,,1075989000,,state total row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Alameda,1,95,6,570,219.3,125000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Amador,5,855,6,5130,309.94,1590000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Butte,7,507,4.5,2280,235.09,536000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Colusa,11,7770,6.11,47500,237.9,11300000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Contra Costa,13,1730,4.39,7600,203.82,1549000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Fresno,19,26000,9,234000,242,56628000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Glenn,21,7750,7.12,55200,229.85,12688000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Imperial,25,151000,8.17,1234000,203.96,251683000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Inyo,27,,,11400,229.04,2611000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Kern,29,53900,7.31,394000,227.42,89602000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Kings,31,22400,8.26,185000,248.62,45995000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Madera,39,,,73100,239,17471000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Merced,47,44400,6.37,283000,241.92,68462000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Modoc,49,39900,5.84,233000,246.2,57364000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Mono,51,,,58900,252.02,14844000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Monterey,53,730,2.49,1820,213.74,389000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Plumas,63,5480,3.19,17500,229.94,4024000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Riverside,65,52300,7.99,418000,180.17,75312000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sacramento,67,13200,5.99,79100,227.91,18028000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Bernardino,71,4210,7.22,30400,215.2,6542000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Joaquin,77,41100,6.4,263000,238.2,62646000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Luis Obispo,79,1420,5.25,7460,250.94,1872000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Shasta,89,2400,5.5,13200,236.97,3128000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sierra,91,3220,2.7,8700,230,2001000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Siskiyou,93,35000,6.26,219000,208.73,45712000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Solano,95,23200,5.52,128000,223.48,28606000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Stanislaus,99,13400,7.09,95000,235.29,22353000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sutter,101,3690,5.74,21200,251.79,5338000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Tehama,103,1250,5.95,7440,229.03,1704000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Tulare,107,34800,9.86,343000,241,82663000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Yolo,113,23800,6.22,148000,232,34336000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Yuba,115,237,5.99,1420,225.35,320000,Tons,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sum of Others,998,7470,,,,12944000,,data table row,,
2021,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,State Total,999,623214,7.28,4626920,222.05,1040366000,Tons,state total row,,
2021,"Alfalfa, Silage",4001002,Silage,195199,Madera,39,,,21000,56.91,1195000,Tons,data table row,,
