Year,Current Item Name,Current Item Code,Legacy Item Name,Legacy Commodity Code,County,County Code,Harvested Acres,Yield,Production,Price Per Unit,Value,Unit,Row Type Id,Commodities In Group,Footnote
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Kings,31,20800,8.75,182000,371.10,67540000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Lassen,35,23100,4.76,110000,330.67,36374000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Madera,39,7900,8.73,69000,369.25,25478000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Merced,47,41100,7.37,303000,347.15,105188000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Modoc,49,36400,6.51,237000,359.39,85176000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Mono,51,,,58900,353.02,20793000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Monterey,53,694,3.13,2170,200.00,434000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Plumas,63,5480,3.69,20200,320.69,6478000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Riverside,65,38400,8.00,307000,318.21,97690000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sacramento,67,12600,5.21,65600,342.77,22486000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Bernardino,71,2920,6.47,18900,335.82,6347000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Joaquin,77,40200,7.02,282000,372.52,105052000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Luis Obispo,79,1030,5.65,5820,488.32,2842000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Shasta,89,2700,5.30,14300,361.26,5166000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sierra,91,3220,3.70,11900,319.92,3807000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Siskiyou,93,35000,6.26,219000,208.73,45712000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Solano,95,16200,5.78,93600,330.62,30946000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Stanislaus,99,12300,7.80,96000,360.75,34632000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sutter,101,3880,5.77,22400,315.85,7075000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Tehama,103,1130,4.03,4550,341.10,1552000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Tulare,107,28900,8.48,245000,381.00,93345000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Yolo,113,20200,5.59,113000,348.00,39324000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Yuba,115,147,3.85,566,321.56,182000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sum of Others,998,7100,,,,13624000,,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,State Total,999,602171,6.68,4041756,335.36,1369068000,Tons,state total row,,
2022,"Alfalfa, Silage",4001002,Silage,195199,Madera,39,,,23200,58.92,1367000,Tons,data table row,,
2022,"Alfalfa, Silage",4001002,Silage,195199,Merced,47,,,165000,74.82,12345000,Tons,data table row,,
2022,"Alfalfa, Silage",4001002,Silage,195199,Riverside,65,4140,8.00,33100,325.02,10758000,Tons,data table row,,
2022,"Alfalfa, Silage",4001002,Silage,195199,Tulare,107,,,312000,112.00,34944000,Tons,data table row,,
2022,"Alfalfa, Silage",4001002,Silage,195199,Sum of Others,998,3420,,,,1159000,,data table row,,
2022,"Alfalfa, Silage",4001002,Silage,195199,State Total,999,7560,8.00,533300,111.41,60573000,Tons,state total row,,
2022,"Almonds, All",,,,Butte,7,35900,,,,109861000,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,"Almonds, All",,,,Colusa,11,55400,,,,86541000,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
