county,year,yield_tons_per_acre,eto_annual_in,precip_annual_in,eto_gs_in,precip_gs_in,eto_gs_mean_mo
Fresno,2014,9.528942484821911,24.5586979318333,0.0,20.208194237199294,0.0,2.8868848910284703
Fresno,2016,9.251619850607945,37.81992783472912,0.0,31.63662883900971,0.0,4.519518405572816
Fresno,2018,12.104375213937436,17.18228080027926,0.0,14.354904694775835,0.0,2.050700670682262
Fresno,2019,12.225667492766844,5.202424973746929,0.0,4.320646139147874,0.0,0.6172351627354106
Fresno,2020,12.60870439166656,6.302191838654736,0.0,5.019234360567703,0.0,0.7170334800811003
Fresno,2021,13.833466649699128,9.74537949733558,0.0,7.967521348378918,0.0,1.3279202247298196
Fresno,2022,14.586746857154932,19.15571832866939,0.0,16.02787310468963,0.0,2.2896961578128043
Marin,2014,2.052026771056952,17.919879384518318,0.0,14.185283540914577,0.0,2.026469077273511
Marin,2016,1.4357914082242131,5.012456052843974,0.0,4.029687509348689,0.0,0.5756696441926697
Marin,2018,2.101556912581834,39.04036191691846,0.0,31.308283877141086,0.0,4.4726119824487265
Marin,2019,2.2351904866769434,40.095338522301454,0.0,32.557069464899115,0.0,4.651009923557017
Marin,2020,1.5278838808250574,31.60386244463072,0.0,26.029779604084048,0.0,3.7185399434405784
Marin,2021,1.7928730512249444,36.57600099480264,0.0,28.48271986015604,0.0,4.747119976692673
Marin,2022,1.701034506699993,41.02377233554663,0.0,32.503387159248454,0.0,4.643341022749779
Napa,2014,4.031724171423414,25.010253099075072,0.0,20.27465245527635,0.0,2.8963789221823357
Napa,2016,3.377754857123177,37.52735682803661,0.0,30.999496282532025,0.0,4.428499468933146
Napa,2018,3.9632399851067865,45.38071677839007,0.0,36.98323634922509,0.0,5.283319478460727
Napa,2019,3.406435437829147,39.61839743390925,0.0,32.92704979516895,0.0,4.7038642564527064
Napa,2020,2.219982615725257,48.24157457065272,0.0,38.77992490161817,0.0,5.539989271659739
Napa,2021,2.7158085871174165,43.67960386676666,0.0,34.62246116333072,0.0,5.770410193888453
Napa,2022,2.853847083902015,51.08543400714523,0.0,41.28974210308048,0.0,5.898534586154354
San Diego,2014,7.341129324788835,20.67816271001777,0.0,15.33972288720533,0.0,2.1913889838864757
San Diego,2016,3.8478569574445354,55.20614150346834,0.0,40.33337370103152,0.0,5.761910528718788
San Diego,2018,4.025923016496465,55.80304264987003,0.0,41.34391373622606,0.0,5.906273390889437
San Diego,2019,4.468275245755139,53.40965513839436,0.0,40.58390747360525,0.0,5.797701067657893
San Diego,2020,3.4362337982136064,54.87050065900063,0.0,40.642142088027605,0.0,5.806020298289658
Santa Barbara,2014,4.187424692217353,42.087945324627,0.0,30.80745835055525,0.0,4.40106547865075
Santa Barbara,2016,3.961516151461488,39.06657998635666,0.0,28.75787002675224,0.0,4.108267146678892
Santa Barbara,2018,2.6648161750283728,48.63611477573343,0.0,36.36771613731216,0.0,5.195388019616023
Santa Barbara,2019,2.285581079395259,46.91921982990117,0.0,35.730072115773375,0.0,5.104296016539053
Santa Barbara,2020,1.9004020593609232,48.17522695619134,0.0,35.68717422120221,0.0,5.09816774588603
Santa Barbara,2021,2.552872162882329,43.418124637026544,0.0,31.23188366362977,0.0,5.205313943938295
Santa Barbara,2022,1.8986878677550008,49.41706114419495,0.0,36.82958061358348,0.0,5.261368659083354
Tehama,2014,4.901526185802039,47.25005722387464,0.0,38.92688400323467,0.0,5.5609834290335245
Tehama,2016,3.978386081586604,29.048138605879718,0.0,24.103393818198796,0.0,3.4433419740283995
Tehama,2018,3.5386185777475334,51.35559319199487,0.0,41.67817427251294,0.0,5.954024896073277
Tehama,2019,2.644242453701453,49.31372283758221,0.0,40.74891330592865,0.0,5.821273329418379
Tehama,2020,2.2397790902815062,51.35220446528622,0.0,40.861329309869674,0.0,5.837332758552811
Tehama,2021,2.0943456671472047,47.756715333798205,0.0,38.31882561448602,0.0,6.3864709357476706
Tehama,2022,2.043824701195219,41.99596172126717,0.0,33.70082672126327,0.0,4.814403817323324
